trabajo_nombre,empresa,lugar_trabajo,tipo_empleo,link_empleo
Agente de Seguridad Masculino. Residencia  CABA Excluyente. Alta disponibilidad horaria,NEYER,,Hace 31 minutos,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-agente-de-seguridad-masculino-residencia-caba-excluyente-alta-disponibilidad-horaria-secundario-completo-en-villa-crespo-CC8CC644AD9B5C4C61373E686DCF3405#lc=ListOffers-Score-0
Manager Pricing and Revenue. Bilingüe. Remoto Ref 18754,ADN - Recursos Humanos,,Hace 32 minutos,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-manager-pricing-and-revenue-bilingue-remoto-ref-18754-zona-caba-en-recoleta-D063CCC7F28DA23361373E686DCF3405#lc=ListOffers-Score-1
"Analista Contable para Importante Empresa del rubro Papelero / Villa del Parque, CABA Ref. 18736",ADN - Recursos Humanos,,Hace 36 minutos,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-contable-para-importante-empresa-del-rubro-papelero-villa-del-parque-caba-ref-18736-en-villa-del-parque-D135869AAFC3257C61373E686DCF3405#lc=ListOffers-Score-2
Chofer Zona Avellaneda,Ceta Capital Humano,,Hace 41 minutos,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-chofer-zona-avellaneda-camioneta-en-san-nicolas-1B38B4A893407FC061373E686DCF3405#lc=ListOffers-Score-3
Ref: 18809 Administrador de Redes y Seguridad,ADN - Recursos Humanos,,Hace 43 minutos,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-18809-administrador-de-redes-y-seguridad-hibrido-parque-patricios-en-parque-patricios-90989DE9FF914A3B61373E686DCF3405#lc=ListOffers-Score-4
Referente de Control de Gestión y Auditoría Sr,Ecosistemas,,Hace 51 minutos,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-referente-de-control-de-gestion-y-auditoria-sr-en-retiro-6D793316D60AA1A861373E686DCF3405#lc=ListOffers-Score-5
Analista DevOps SSr.,Kaizen Recursos Humanos,"Capital Federal, Retiro",Hace 1 hora,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-devops-ssr-zona-microcentro-caba-en-retiro-65FA71AEA8C4E40A61373E686DCF3405#lc=ListOffers-Score-6
Analista de Integraciones Sr.,Kaizen Recursos Humanos,"Capital Federal, Retiro",Hace 2 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-integraciones-sr-zona-microcentro-caba-en-retiro-D223D736DA88D21E61373E686DCF3405#lc=ListOffers-Score-7
Analista Programador JAVA Sr.,Kaizen Recursos Humanos,"Capital Federal, Retiro",Hace 2 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-programador-java-sr-zona-microcentro-caba-en-retiro-D5CB54377A50692361373E686DCF3405#lc=ListOffers-Score-8
Tester Automation Java SSr.,Kaizen Recursos Humanos,"Capital Federal, Retiro",Hace 2 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tester-automation-java-ssr-zona-microcentro-caba-en-retiro-2CB424D73F96C5C061373E686DCF3405#lc=ListOffers-Score-9
Ay. Cocina. Cocinero,Acatraz S.A.,,Hace 12 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ay-cocina-cocinero-en-almagro-033FADB618A40EBA61373E686DCF3405#lc=ListOffers-Score-10
Administrativo/a,Consultores de Empresas,,Hace 13 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-administrativoa-en-palermo-5B5C6818FB202CD261373E686DCF3405#lc=ListOffers-Score-11
Operario de Empaque,ETT Faster Argentina SA,,Hace 13 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-operario-de-empaque-rubro-alimenticio-en-nunez-A078C2D768461FAC61373E686DCF3405#lc=ListOffers-Score-12
Cuidadoras • Asistente Gerontológico • Jornadas 24 horas día por medio •Con referencias,Asistencia Domiciliaria,"Capital Federal, Recoleta",Hace 14 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cuidadoras-asistente-gerontologico-jornadas-24-horas-dia-por-medio-con-referencias-en-recoleta-0D97A5C1AA7C0F9161373E686DCF3405#lc=ListOffers-Score-13
empleada/o para atencion alpublico ( libreria artistica comercial escolar y centro de copiado),Office X-press,"Capital Federal, Recoleta",Hace 14 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-empleadao-para-atencion-alpublico-libreria-artistica-comercial-escolar-y-centro-de-copiado-para-libreria-comercial-escolar-y-artistica-en-recoleta-B5A9ED0FA2630C8F61373E686DCF3405#lc=ListOffers-Score-14
operario/a de depósito,Gelin Group SA,"Capital Federal, Parque Patricios",Hace 14 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-operarioa-de-deposito-seguridad-electronica-en-parque-patricios-8A2FCDD84454399861373E686DCF3405#lc=ListOffers-Score-15
Pastelera,Dulce Buenos Aires,"Capital Federal, Belgrano",Hace 14 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-pastelera-en-belgrano-79D412DD852EC9A561373E686DCF3405#lc=ListOffers-Score-16
Abogadas,Pamela Orlandini - Life Group,"Capital Federal, San Nicolás",Hace 14 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-abogadas-estudio-penal-accidentologico-en-san-nicolas-DFE93F05DF7B4C5D61373E686DCF3405#lc=ListOffers-Score-17
Delivery,Los Cobos s.r.l.,"Capital Federal, Caballito",Hace 14 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-delivery-full-time-en-caballito-4E309FF4A5CAE59B61373E686DCF3405#lc=ListOffers-Score-18
Profeso/a de inglés para empresas,Effective Communication in English,"Capital Federal, Recoleta",Hace 14 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-profesoa-de-ingles-para-empresas-nivel-terciario-en-recoleta-C711B26D3D05820A61373E686DCF3405#lc=ListOffers-Score-19
Profeso/a de inglés para empresas,Effective Communication in English,"Capital Federal, Recoleta",Hace 14 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-profesoa-de-ingles-para-empresas-nivel-terciario-en-recoleta-C711B26D3D05820A61373E686DCF3405#lc=ListOffers-Score-0
Desarrollador software,ALVAREZ LUCAS IGNACIO,"Capital Federal, Recoleta",Hace 14 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-software-freelancer-en-recoleta-D6E6001B80A512B061373E686DCF3405#lc=ListOffers-Score-1
Diseñador Web,ALVAREZ LUCAS IGNACIO,"Capital Federal, Recoleta",Hace 14 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-disenador-web-freelancer-en-recoleta-CC0CB769A780896061373E686DCF3405#lc=ListOffers-Score-2
asistente contabilIdad,MEDITERRANEO S A,"Capital Federal, Balvanera",Hace 14 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-contabilidad-contadora-en-balvanera-FA82563DCD35C8BD61373E686DCF3405#lc=ListOffers-Score-3
arquitecto o dibujante 3d,estudio loft,"Capital Federal, Caballito",Hace 14 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-arquitecto-o-dibujante-3d-3d-studio-max-en-caballito-254836F796CBDD7D61373E686DCF3405#lc=ListOffers-Score-4
operario/a de producción,GALLO NEGRO,"Capital Federal, Parque Chacabuco",Hace 14 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-operarioa-de-produccion-tareas-generales-en-parque-chacabuco-C359E9298ACEF19761373E686DCF3405#lc=ListOffers-Score-5
Tester Automation Java Sr.,Kaizen Recursos Humanos,"Capital Federal, Retiro",Hace 14 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tester-automation-java-sr-zona-microcentro-caba-en-retiro-94BFD9398B332D3261373E686DCF3405#lc=ListOffers-Score-6
Analista Programador .Net SSr,Kaizen Recursos Humanos,"Capital Federal, Retiro",Hace 14 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-programador-net-ssr-zona-microcentro-caba-en-retiro-282D2961EC3B4FD161373E686DCF3405#lc=ListOffers-Score-7
empleado/a de limpieza y jardinería,Star Union S.R.L.,,Hace 15 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-empleadoa-de-limpieza-y-jardineria-zona-caba-y-gran-buenos-aires-en-villa-lugano-B05249D704FD7F9B61373E686DCF3405#lc=ListOffers-Score-8
Técnico Mecánico de Mantenimiento,MAYO HUGO ALEXIS,"Capital Federal, San Nicolás",Hace 15 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-mecanico-de-mantenimiento-zona-norte-en-san-nicolas-BB0553851286F7DC61373E686DCF3405#lc=ListOffers-Score-9
Estampador /a serigrafia  y sublimacion,Una Pasion,"Capital Federal, Monserrat",Hace 15 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-estampador-a-serigrafia-y-sublimacion-estampadosserigrafia-sublimacion-en-monserrat-FCE628266CC03D0561373E686DCF3405#lc=ListOffers-Score-10
cajero mixto,Tienda de Empanadas,"Capital Federal, Villa Urquiza",Hace 15 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cajero-mixto-preferentemente-con-experiencia-en-villa-urquiza-DE04D8F23CCAF35461373E686DCF3405#lc=ListOffers-Score-11
Ingeniero ventas,MAYO HUGO ALEXIS,"Capital Federal, San Nicolás",Hace 15 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-ventas-con-movilidad-propia-en-san-nicolas-36B8E7AF352B181461373E686DCF3405#lc=ListOffers-Score-12
